"filename", "language", "JSON", "Dart", "HTML", "YAML", "Markdown", "Groovy", "Properties", "XML", "Swift", "C++", "comment", "blank", "total"
"c:\sharky\flutter_plant_market\lib\src\features\auth\login\presentation\bloc\login_bloc.dart", "Dart", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 90
"c:\sharky\flutter_plant_market\lib\src\features\auth\login\presentation\bloc\login_event.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29
"c:\sharky\flutter_plant_market\lib\src\features\auth\login\presentation\bloc\login_state.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 36
"c:\sharky\flutter_plant_market\lib\src\features\auth\login\presentation\pages\login_page.dart", "Dart", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 85
"c:\sharky\flutter_plant_market\lib\src\features\auth\login\presentation\pages\part_login_page.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\sharky\flutter_plant_market\lib\src\features\auth\login\presentation\widgets\brand_login_button.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58
"c:\sharky\flutter_plant_market\lib\src\features\auth\login\presentation\widgets\login_form.dart", "Dart", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 121
"c:\sharky\flutter_plant_market\lib\src\features\auth\login\presentation\widgets\not_logged_in_button.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 71
"c:\sharky\flutter_plant_market\lib\src\features\auth\login\presentation\widgets\row_brand_login_button.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 41
"c:\sharky\flutter_plant_market\lib\src\features\auth\otp\presentation\page\otp_page.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 92
"c:\sharky\flutter_plant_market\lib\src\features\auth\otp\presentation\widgets\otp_form.dart", "Dart", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 128
"c:\sharky\flutter_plant_market\lib\src\features\dash_board\presentation\bloc\dash_board_bloc.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\sharky\flutter_plant_market\lib\src\features\dash_board\presentation\bloc\dash_board_event.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"c:\sharky\flutter_plant_market\lib\src\features\dash_board\presentation\bloc\dash_board_state.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 29
"c:\sharky\flutter_plant_market\lib\src\features\dash_board\presentation\page\dash_board_page.dart", "Dart", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 84
"c:\sharky\flutter_plant_market\lib\src\features\dash_board\presentation\page\part_dash_board_page.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
